,n_track,set_section,artist,track,set_name,song_id,album,duration,tempo,energy,danceability,valence,key,time_signature,acousticness,instruentalness,mode,na
403,2,1,Genius Of Time,Juno Jam,2014-09-02 - Bonobo - Mixed By,1X98WyQdZrymjV45UUIuCA,Juno Jam EP,7.670966666666667,120.012,0.689,0.804,0.338,1,4,2.69e-05,0.889,0,False
404,3,1,Kaytranada Feat. Shay Lia,Leave Me Alone,2014-09-02 - Bonobo - Mixed By,,,,,,,,,,,,,True
405,4,1,Leon Vynehall,Butterflies,2014-09-02 - Bonobo - Mixed By,5vWy90WX1eyfFUxnKcKSY9,Butterflies / This is the Place,7.4877666666666665,120.002,0.916,0.693,0.562,10,4,0.00151,0.762,0,False
406,5,1,Dark Sky,IYP,2014-09-02 - Bonobo - Mixed By,1slrGJumV6a8QWtLfI3Aby,Mister Saturday Night - Brothers and Sisters,5.856216666666667,123.003,0.967,0.749,0.476,5,4,0.00762,0.841,0,False
407,6,1,Lake People,Night Drive,2014-09-02 - Bonobo - Mixed By,67glS6aWB3SipoZo3SOC52,Night Drive,6.4406,123.012,0.439,0.808,0.59,0,4,0.000484,0.859,1,False
408,7,1,Butch & C.Vogt,The Infamous (Robytek vs Shield Cut),2014-09-02 - Bonobo - Mixed By,,,,,,,,,,,,,True
409,8,1,Throwing Snow,As You Fall (Live Analogue Jam),2014-09-02 - Bonobo - Mixed By,,,,,,,,,,,,,True
410,9,1,Dorian Concept,"Ann River, Mn",2014-09-02 - Bonobo - Mixed By,4OLmxH0KtAsHb51lQgBBlB,Joined Ends,4.1254,128.004,0.839,0.635,0.857,8,4,0.676,0.533,0,False
411,10,1,Nalepa & William Arcane,Feel,2014-09-02 - Bonobo - Mixed By,4NPE6ue5Id2CWMzJVj82os,Feel,4.733333333333333,128.093,0.431,0.7,0.0379,1,4,0.44,0.741,1,False
412,11,1,Mr. Mitch,"The Lion, The Bitch And The Bordeaux",2014-09-02 - Bonobo - Mixed By,,,,,,,,,,,,,True
413,1,1,Bonobo,Cirrus,2014-11-20 - Bonobo (Live PA) @ Boiler Room London,2lJ4d8MCT6ZlDRHKJ1br14,The North Borders,5.8707666666666665,119.042,0.844,0.64,0.364,2,4,0.395,0.933,0,False
414,2,1,Bonobo,Sapphire,2014-11-20 - Bonobo (Live PA) @ Boiler Room London,1d5hX0RYHcDM4aHJHSm5cr,The North Borders,4.795466666666667,135.024,0.631,0.641,0.0549,0,4,0.048,0.612,0,False
415,3,1,Bonobo Feat. Szjerdene,Towers,2014-11-20 - Bonobo (Live PA) @ Boiler Room London,,,,,,,,,,,,,True
416,4,1,Bonobo Feat. Andreya Triana,Stay The Same,2014-11-20 - Bonobo (Live PA) @ Boiler Room London,,,,,,,,,,,,,True
417,5,1,Bonobo,Prelude/Kiara,2014-11-20 - Bonobo (Live PA) @ Boiler Room London,5lcTh4kYshToQMHnlNsxaj,The North Borders Tour. — Live.,8.162716666666666,99.95,0.741,0.385,0.332,3,4,0.166,0.794,0,False
418,6,1,Bonobo,Ten Tigers (+ Jam),2014-11-20 - Bonobo (Live PA) @ Boiler Room London,,,,,,,,,,,,,True
419,7,1,Bonobo,Kong,2014-11-20 - Bonobo (Live PA) @ Boiler Room London,7Cg3F9ZsZ2TYUnlza49NYh,Black Sands,3.963766666666667,94.031,0.749,0.542,0.674,6,4,0.173,0.942,0,False
420,8,1,Bonobo,Ketto,2014-11-20 - Bonobo (Live PA) @ Boiler Room London,4Gkd4msFAFTiDxFZcg9r8i,Days To Come,5.114,95.011,0.784,0.635,0.31,7,4,0.337,0.917,0,False
421,9,1,Bonobo,Emkay,2014-11-20 - Bonobo (Live PA) @ Boiler Room London,37A0JOrJ5WnmhIyGNnAhRN,The North Borders,5.426383333333333,130.025,0.474,0.776,0.195,11,4,0.0208,0.384,0,False
422,10,1,Bonobo Feat. Grey Reverend,First Fires,2014-11-20 - Bonobo (Live PA) @ Boiler Room London,,,,,,,,,,,,,True
423,11,1,Bonobo Feat. Szjerdene,Heaven For The Sinner,2014-11-20 - Bonobo (Live PA) @ Boiler Room London,,,,,,,,,,,,,True
424,12,1,Bonobo,Recurring,2014-11-20 - Bonobo (Live PA) @ Boiler Room London,0tXU2cpXxXysj6jg4vSUbv,Days To Come,4.868433333333333,116.252,0.649,0.366,0.481,7,4,0.154,0.941,1,False
